2021-09-08 19:32:29|"Küresel çetelere karşı tek ses olmak için bende varım. 11 eylülde maltepedeyiz
#11eylüldemaltepedeyiz #AsıMasıOlmıycam #AsıVePcrDurdurulsun #asıolmayacağım https://t.co/lQt3LbeLua"
2021-09-08 19:31:27|Brezilya’da aşı zorbalığına karşı toplanan 3 milyon insan ve özgürlük haykırışları #sergenyalcın #AsıVePcrDurdurulsun #Brezilya #Akbank #bueyuekuyanısmitingi #Binance #asıolmayacağım https://t.co/c4lD81WZhi
2021-09-08 19:26:45|neden ozaman özel hastanelerde paralı diye sorulmazmi @drfahrettinkoca ya #asıolmayacağım https://t.co/pDLmylmQ53
2021-09-08 19:23:28|"@ah_pendik @RTErdogan Erdoğan bu ülkeyi bu milleti teslim etti küreselci iblislere artık medet ummaktan vazgeçtik çözüm arıyoruz.

#asıolmayacağım #CocuklarımızıYedirmeyiz #PCRbitersePandemiBiter"
2021-09-08 19:20:13|Neden? Suçumuz 💉olmamak mı? #asıolmayacağım https://t.co/zk0mzhaMec
2021-09-08 19:04:17|"Öyleyse akıllarını peynir ekmekle yemişler. O iş o kadar kolay değil topitop şekerlemeleri  

#mugeanli
#ekatama #dolar 
#MEBeVarSAĞLIĞAyokmu #asıolmayacağım https://t.co/Lts2YdATiU"
2021-09-08 19:03:46|"Aşıda gördüğüm en ikna edici söylem 🤩
#asıolmayacağım cılar #AsıVePcrDurdurulsun cular bi daha düşünsün :))
https://t.co/uSLMjBNzUe"
2021-09-08 18:58:02|"Genel Başkan Vekilimiz Sayın Mustafa Yücel 
#TuranHareketiPartisi Genel Başkan Vekilimiz @PrinceO41189365 
#AsıVePcrDurdurulsun 
#asıdapcrdaolmuyoruz #asıolmayacağım 
Turan Hareketi Partisi Genel Başkan Yardımcısı Yıldız Şen https://t.co/kklEK2z1GQ"
2021-09-08 18:57:12|"@YildizzTilbee gibi mert sanatçılara bravo. Kimsenin yalakalığını yapmadığı, doğru bildiğinden şaşmadığı için tebrikler
#asıolmayacağım #AşıMaşıolmıycam"
2021-09-08 18:42:00|"Hiç bir Mağduru, Mazlumu, Zalimin Pençesine Terk Etmedik..
 Diyenler, asıl  bu ülkeye en büyük ihaneti ve  darbeyi vuran sizlersiniz !
#AşıOlmayacağım"
2021-09-08 18:40:16|"Maçta, mitingde maske yok, okulda camide, işyerinde, sokakta maske var, ha birde selfie çekerken olmalı yersen
#AsıVePcrDurdurulsun 
#asıolmayacağım 
#BueyuekUyanısMitingi https://t.co/HWNhHkl37f"
2021-09-08 18:39:05|Benim hakkım olan aşıları sağlık bakanlığina hediye ediyorum #asıolmayacağım
2021-09-08 18:32:54|@drfahrettinkoca Istifa etmelisiniz. Bu kadar tepkiyi görmezden gelebilmeyi nasıl başarıyorsunuz! Siz de takdir ettiğim tek şey bu olgunuz. #asıolmayacağım #AsıVePcrDurdurulsun #PcrTestineHayir
2021-09-08 18:25:59|"Bazı hastanelerin kantin katları bile pandemi servisi olmuş sağlık personeli yok hastalara kantinci mi baksın Alooo orda mısınız 

 #MEBEvarSAGLİGAyokmu
#dolar #mugeanli #asıolmayacağım https://t.co/sUpHPxJOSJ"
2021-09-08 18:22:42|"Bizde Yüce kitabımız Kur'an-ı Kerim'de buyurulduğu gibi  aklediyorum , düşünüyoruz ve sorguluyoruz ama sizlerinde bu süreçte bizlere destek olmanızı istirham ediyorum
#SizHiçAkletmezmisiniz #11EylülMaltepedeyiz #Plandemi
#AsıVePcrDurdurulsun
#asıolmayacağım"
2021-09-08 18:17:03|Peki bu salgın bütün dünyayı tehdit eden bir salgınsa...aşıyı bulan ülkeler aşının formülünü aşıyı üretebilecek ülkelere neden vermeyipte ticaretini yapıyorlar??? Formüller verilse daha yaygın bir şekilde üretilip dünya üzerinde hiçbir ülkeye parayla satılmasa #asıolmayacağım
