Tweet Id,Tweet Date,Follower Count,Account Verified,Favorite Count,Retweets,Tweet Text
1436212627412295680,2021-09-10 06:19:08,21,False,0,0,b'#as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m napacaks\xc4\xb1n\xc4\xb1z \xc5\x9fimdiki hedef polis zoruyla m\xc4\xb1'
1436109734684278787,2021-09-09 23:30:17,235,False,0,0,b'Kan\xc4\xb1m\xc4\xb1n son damlas\xc4\xb1na kadar sava\xc5\x9faca\xc4\x9f\xc4\xb1z #As\xc4\xb1olmayacagim'
1436106795290927108,2021-09-09 23:18:36,335,False,4,1,b'Sa\xc4\x9fl\xc4\xb1k bakan\xc4\xb1 istiyoruz...a\xc5\x9f\xc4\xb1 bakan\xc4\xb1 de\xc4\x9fil !!\nHastal\xc4\xb1k belirtisi olmayan \xc3\xa7ocuklara PCR testini reva g\xc3\xb6ren biri t\xc3\xbcccar m\xc4\xb1d\xc4\xb1r sa\xc4\x9fl\xc4\xb1k\xc3\xa7\xc4\xb1 m\xc4\xb1d\xc4\xb1r? \n#buyukuyan\xc4\xb1smitingi\n#fahrettinkocaistifa\n#As\xc4\xb1Mas\xc4\xb1Olm\xc4\xb1ycam \n#Cocu\xc4\x9fumaDokunamazs\xc4\xb1n\xc4\xb1z \n#OkullardakiDurum \n#PcrTestineHayir \n#as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m https://t.co/lpb810eWhq'
1436093272590626818,2021-09-09 22:24:52,1147,False,1,0,"b""Oturup istatistiklere bakay\xc4\xb1m dedim . 09.09.2020 vefat say\xc4\xb1s\xc4\xb1 55,\n09.09.2021 vefat say\xc4\xb1s\xc4\xb1 257. \n09.09.2020'de a\xc5\x9f\xc4\xb1lama daha ba\xc5\x9flamam\xc4\xb1\xc5\x9ft\xc4\xb1.A\xc5\x9f\xc4\xb1n\xc4\xb1n baya\xc4\x9f\xc4\xb1 faydas\xc4\xb1 olmu\xc5\x9f(!) \xc4\xb0yi ki a\xc5\x9f\xc4\xb1 oluyoruz.Ger\xc3\xa7ekten durum ac\xc4\xb1nacak bir h\xc3\xa2lde. #as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m"""
1436088049042169862,2021-09-09 22:04:06,0,False,3,1,b'#as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m #fahrettinkocaistifa  #CocuklarimizaAsiyaHayir #cocuklar\xc4\xb1m\xc4\xb1zapcryapamazs\xc4\xb1n\xc4\xb1z #cocuklar\xc4\xb1m\xc4\xb1z\xc4\xb1yedirmeyiz duydun mu damat fahrettin pa\xc5\x9fa? https://t.co/coGuhhzINv'
1436071254910545924,2021-09-09 20:57:22,905,False,0,0,b'@akaraismailoglu @yusufgokdemir25 Allah a\xc5\x9fk\xc4\xb1na \xc5\x9fu #pcrzulmunukabuletmiyoruz hi\xc3\xa7 hasta olmam\xc4\xb1\xc5\x9f ve hastal\xc4\xb1k belirtisi olmayan insanlara deney s\xc4\xb1v\xc4\xb1lar\xc4\xb1n\xc4\xb1 v\xc3\xbccutlar\xc4\xb1na zerk ettirmiyorlar diye zul\xc3\xbcm etmeyin... #PCRbitersePandemiBiter #as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m #Evlad\xc4\xb1n\xc4\xb1As\xc4\xb1danKoru'
1436071040082399233,2021-09-09 20:56:31,905,False,0,0,b'@turgayguler @Kzlelma91788149 @hasanozturke @GaffarYakinca @eminpazarci Allah a\xc5\x9fk\xc4\xb1na \xc5\x9fu #pcrzulmunukabuletmiyoruz hi\xc3\xa7 hasta olmam\xc4\xb1\xc5\x9f ve hastal\xc4\xb1k belirtisi olmayan insanlara deney s\xc4\xb1v\xc4\xb1lar\xc4\xb1n\xc4\xb1 v\xc3\xbccutlar\xc4\xb1na zerk ettirmiyorlar diye zul\xc3\xbcm etmeyin... #PCRbitersePandemiBiter #as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m #Evlad\xc4\xb1n\xc4\xb1As\xc4\xb1danKoru'
1436070938760581121,2021-09-09 20:56:07,905,False,0,0,b'Allah a\xc5\x9fk\xc4\xb1na \xc5\x9fu #pcrzulmunukabuletmiyoruz hi\xc3\xa7 hasta olmam\xc4\xb1\xc5\x9f ve hastal\xc4\xb1k belirtisi olmayan insanlara deney s\xc4\xb1v\xc4\xb1lar\xc4\xb1n\xc4\xb1 v\xc3\xbccutlar\xc4\xb1na zerk ettirmiyorlar diye zul\xc3\xbcm etmeyin... #PCRbitersePandemiBiter #as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m #Evlad\xc4\xb1n\xc4\xb1As\xc4\xb1danKoru https://t.co/goIPgFT9cC'
1436070328107667464,2021-09-09 20:53:41,905,False,0,0,b'@AhmetMisbah Allah a\xc5\x9fk\xc4\xb1na \xc5\x9fu #pcrzulmunukabuletmiyoruz hi\xc3\xa7 hasta olmam\xc4\xb1\xc5\x9f ve hastal\xc4\xb1k belirtisi olmayan insanlara deney s\xc4\xb1v\xc4\xb1lar\xc4\xb1n\xc4\xb1 v\xc3\xbccutlar\xc4\xb1na zerk ettirmiyorlar diye zul\xc3\xbcm etmeyin... #PCRbitersePandemiBiter #as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m #Evlad\xc4\xb1n\xc4\xb1As\xc4\xb1danKoru'
1436069737579044871,2021-09-09 20:51:20,345,False,3,3,"b'Hiperviskozite:Anormal ve a\xc5\x9f\xc4\xb1r\xc4\xb1 miktarda imm\xc3\xbcnoglobulin \xc3\xbcretimi nedeniyle, kan\xc4\xb1n ak\xc4\xb1\xc5\x9fkanl\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1n azalmas\xc4\xb1 sonucu,doku ve organlardaki oksijen yetersizli\xc4\x9fi, p\xc4\xb1ht\xc4\xb1la\xc5\x9fma bozukluklar\xc4\xb1.\n*Daha \xc3\xb6nce covid ge\xc3\xa7irip a\xc5\x9f\xc4\xb1lananlarda y\xc3\xbcksek viskozite.\n#as\xc4\xb1olmayaca\xc4\x9f\xc4\xb1m #as\xc4\xb1ma\xc4\x9fdurlar\xc4\xb1 https://t.co/8iMYxRc3JR'"
1436066083845312513,2021-09-09 20:36:49,797,False,0,0,b'Sa\xc4\x9fl\xc4\xb1k bakan\xc4\xb1 denen ki\xc5\x9fi \xc3\xa7ok b\xc3\xbcy\xc3\xbck d\xc3\xbczenbaz #a\xc5\x9f\xc4\xb1Olmayaca\xc4\x9f\xc4\xb1m'
